country,satellite_name,approximate_orbit_type,record_id,object_type,launch_year,launch_site,longitude,avg_longitude,geohash,HRR_Category,is_nominated,nominated_at,norad_cat_id,has_dossier,last_updated_at,justification,focused_analysis,days_old,conjunction_count,is_unk_object,all_maneuvers,days_since_ob,recent_maneuvers,deltaV_90day,has_sister_debris
CIS,SL-14 R/B,LEO,10096,Rocket Body,1977,PKMTR,-70.94856912,-45.06140362,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,10096,FALSE,2023-01-01T00:00:00.000Z,-,-,17390,0,FALSE,0,0,0,0.0,FALSE
CIS,COSMOS 839 DEB,LEO,10436,Debris,1976,PKMTR,29.39840935,-32.93402367,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,10436,FALSE,2023-01-01T00:00:00.000Z,-,-,17741,0,FALSE,0,0,0,0.0,FALSE
CIS,SL-6 R/B(2),HEO,11888,Rocket Body,1980,PKMTR,126.9150131,-19.61821317,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,11888,FALSE,2023-01-01T00:00:00.000Z,-,-,16286,0,FALSE,0,0,0,0.0,FALSE
US,DELTA 1 DEB,LEO,12529,Debris,1976,AFWTR,-49.97556469,63.24844584,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,12529,FALSE,2023-01-01T00:00:00.000Z,-,-,17720,0,FALSE,0,0,0,0.0,FALSE
CIS,SL-12 R/B(2),MEO,13610,Rocket Body,1982,TTMTR,85.4247124,128.2572213,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,13610,FALSE,2023-01-01T00:00:00.000Z,-,-,15454,0,FALSE,0,0,0,0.0,FALSE
CIS,SL-12 R/B(2),GEO,18634,Rocket Body,1987,TTMTR,-84.0285869,-45.40569888,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,18634,FALSE,2023-01-01T00:00:00.000Z,-,-,13569,0,FALSE,0,0,0,0.0,FALSE
CIS,SL-8 DEB,LEO,21249,Debris,1991,PKMTR,-162.5254582,-98.07395074,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,21249,FALSE,2023-01-01T00:00:00.000Z,-,-,12409,0,FALSE,0,0,0,0.0,FALSE
US,USA 103,Unknown Orbit Category,23097,Payload,1994,AFETR,0.0,0.0,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,23097,FALSE,2023-01-01T00:00:00.000Z,-,-,11233,0,FALSE,0,0,0,0.0,FALSE
CIS,SL-14 DEB,LEO,26005,Debris,1991,PKMTR,9.339711283,22.61155748,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,26005,FALSE,2023-01-01T00:00:00.000Z,-,-,12181,0,FALSE,0,0,0,0.0,FALSE
US,USA 176,GEO,28158,Payload,2004,AFETR,87.91604609,87.1905644,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,28158,FALSE,2023-01-01T00:00:00.000Z,-,-,7659,1,FALSE,0,0,0,0.0,FALSE
US,ATLAS 5 CENTAUR R/B,HEO,28473,Rocket Body,2004,AFETR,58.82236332,165.8841282,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,28473,FALSE,2023-01-01T00:00:00.000Z,-,-,7352,0,FALSE,0,0,0,0.0,FALSE
US,SCOUT G-1 DEB,LEO,29210,Debris,1987,AFWTR,0.0,0.0,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,29210,FALSE,2023-01-01T00:00:00.000Z,-,-,13654,0,FALSE,0,0,0,0.0,FALSE
PRC,CZ-4B DEB,LEO,29539,Debris,2006,TSC,26.25180283,127.1089658,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,29539,FALSE,2023-01-01T00:00:00.000Z,-,-,6857,0,FALSE,0,0,0,0.0,FALSE
PRC,FENGYUN 1C DEB,LEO,31518,Debris,1999,TSC,0.0,0.0,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,31518,FALSE,2023-01-01T00:00:00.000Z,-,-,9400,0,FALSE,0,0,0,0.0,FALSE
US,DELTA 4H DEB,Unknown Orbit Category,32558,Debris,2007,AFETR,0.0,0.0,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,32558,FALSE,2023-01-01T00:00:00.000Z,-,-,6293,0,FALSE,0,0,0,0.0,FALSE
IND,PSLV DEB,LEO,35350,Debris,2001,SRI,-19.90037801,94.22048479,"13.7178,80.2",Blue,FALSE,2023-01-01T00:00:00.000Z,35350,FALSE,2023-01-01T00:00:00.000Z,-,-,8504,0,FALSE,0,0,0,0.0,FALSE
CIS,COSMOS 2251 DEB,LEO,35670,Debris,1993,PKMTR,39.99585443,50.95457541,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,35670,FALSE,2023-01-01T00:00:00.000Z,-,-,11554,0,FALSE,0,0,0,0.0,FALSE
PRC,CZ-3C DEB,HEO,39350,Debris,2010,XSC,-133.5762562,-101.9103117,"28.246017,102.026556",Blue,FALSE,2023-01-01T00:00:00.000Z,39350,FALSE,2023-01-01T00:00:00.000Z,-,-,5208,0,FALSE,0,0,0,0.0,FALSE
CIS,COSMOS 1867 COOLANT,LEO,39645,Debris,1987,TTMTR,142.5517496,26.19027854,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,39645,FALSE,2023-01-01T00:00:00.000Z,-,-,13722,0,FALSE,0,0,0,0.0,FALSE
CIS,FREGAT DEB,LEO,46525,Debris,2011,TTMTR,0.0,0.0,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,46525,FALSE,2023-01-01T00:00:00.000Z,-,-,4948,0,FALSE,0,0,0,0.0,FALSE
TBD,OBJECT AA,LEO,47437,Unknown,2021,AFETR,30.6140765,-104.5134819,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,47437,FALSE,2023-01-01T00:00:00.000Z,-,-,1470,0,FALSE,0,0,0,0.0,FALSE
US,STARLINK-2337,LEO,47880,Payload,2021,AFETR,-175.0260674,-130.5323513,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,47880,FALSE,2023-01-01T00:00:00.000Z,-,-,1421,11,FALSE,0,0,0,0.0,FALSE
TBD,OBJECT AE,LEO,47960,Unknown,2021,TTMTR,50.38528302,160.6917475,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,47960,FALSE,2023-01-01T00:00:00.000Z,-,-,1413,0,FALSE,0,0,0,0.0,FALSE
US,THORAD AGENA D DEB,LEO,4821,Debris,1970,AFWTR,178.2103203,-72.04940003,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,4821,FALSE,2023-01-01T00:00:00.000Z,-,-,20024,0,FALSE,0,0,0,0.0,FALSE
US,STARLINK-2621,LEO,48370,Payload,2021,AFETR,54.79928555,104.1870379,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,48370,FALSE,2023-01-01T00:00:00.000Z,-,-,1370,12,FALSE,0,0,0,0.0,FALSE
CIS,COSMOS 2499 DEB,LEO,50802,Debris,2014,PKMTR,0.0,84.37778856,"62.925556,40.577778",Blue,FALSE,2023-01-01T00:00:00.000Z,50802,FALSE,2023-01-01T00:00:00.000Z,-,-,3908,0,FALSE,0,0,0,0.0,FALSE
US,STARLINK-5145,LEO,54008,Payload,2022,AFWTR,-125.2902531,-84.74276614,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,54008,FALSE,2023-01-01T00:00:00.000Z,-,-,851,4,FALSE,0,0,0,0.0,FALSE
US,STARLINK-5307,LEO,55658,Payload,2023,AFWTR,67.76143206,168.1115426,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,55658,FALSE,2023-01-01T00:00:00.000Z,-,-,716,6,FALSE,0,0,0,0.0,FALSE
US,STARLINK-30442,LEO,57868,Payload,2023,AFETR,-157.9895996,164.4697541,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,57868,FALSE,2023-01-01T00:00:00.000Z,-,-,505,6,FALSE,0,0,0,0.0,FALSE
US,STARLINK-30793,LEO,58185,Payload,2023,AFETR,80.02257341,42.16781126,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,58185,FALSE,2023-01-01T00:00:00.000Z,-,-,461,8,FALSE,0,0,0,0.0,FALSE
US,STARLINK-30762,LEO,58197,Payload,2023,AFETR,5.836206465,-24.70640827,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,58197,FALSE,2023-01-01T00:00:00.000Z,-,-,461,2,FALSE,0,0,0,0.0,FALSE
US,STARLINK-31949,LEO,59891,Payload,2024,AFETR,-144.493079,-85.3865632,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,59891,FALSE,2023-01-01T00:00:00.000Z,-,-,250,0,FALSE,0,0,0,0.0,FALSE
US,STARLINK-31793,LEO,60053,Payload,2024,AFWTR,122.6518987,134.572758,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,60053,FALSE,2023-01-01T00:00:00.000Z,-,-,239,7,FALSE,0,0,0,0.0,FALSE
US,STARLINK-32079,LEO,60336,Payload,2024,AFETR,35.74144473,162.2770626,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,60336,FALSE,2023-01-01T00:00:00.000Z,-,-,184,0,FALSE,0,0,0,0.0,FALSE
PRC,CZ-6A DEB,LEO,61354,Debris,2024,TSC,0.0,32.2282236,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,61354,FALSE,2023-01-01T00:00:00.000Z,-,-,180,0,FALSE,0,0,0,0.0,FALSE
PRC,CZ-6A DEB,LEO,61819,Debris,2024,TSC,0.0,22.59503966,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,61819,FALSE,2023-01-01T00:00:00.000Z,-,-,180,0,FALSE,0,0,0,0.0,FALSE
US,DELTA 1 DEB,LEO,12542,Debris,1976,AFWTR,-32.49004766,127.1862917,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,12542,FALSE,2023-01-01T00:00:00.000Z,-,-,17720,0,FALSE,0,0,0,0.0,FALSE
SWED,TELE-X,GEO,19919,Payload,1989,FRGUI,-11.55953354,63.57869112,"5.222222,-52.773611",Blue,FALSE,2023-01-01T00:00:00.000Z,19919,FALSE,2023-01-01T00:00:00.000Z,-,-,13090,0,FALSE,0,0,0,0.0,FALSE
US,DELTA 1 DEB,LEO,21453,Debris,1975,AFWTR,136.6945894,-145.4078904,"34.742221,-120.57243",Blue,FALSE,2023-01-01T00:00:00.000Z,21453,FALSE,2023-01-01T00:00:00.000Z,-,-,18133,0,FALSE,0,0,0,0.0,FALSE
CIS,SL-19 DEB,LEO,23479,Debris,1994,TTMTR,164.320848,35.19114769,"45.965,63.305",Blue,FALSE,2023-01-01T00:00:00.000Z,23479,FALSE,2023-01-01T00:00:00.000Z,-,-,10996,0,FALSE,0,0,0,0.0,FALSE
PRC,CZ-4 DEB,LEO,26222,Debris,1999,TSC,-158.5481305,-177.5567996,"38.849086,111.608497",Blue,FALSE,2023-01-01T00:00:00.000Z,26222,FALSE,2023-01-01T00:00:00.000Z,-,-,9243,0,FALSE,0,0,0,0.0,FALSE
US,DELTA 1 DEB,LEO,27729,Debris,1977,AFETR,156.6135471,-46.53318009,"28.4917337,-80.5825555",Blue,FALSE,2023-01-01T00:00:00.000Z,27729,FALSE,2023-01-01T00:00:00.000Z,-,-,17370,0,FALSE,0,0,0,0.0,FALSE
FR,ARIANE 44L DEB,HEO,28039,Debris,1991,FRGUI,-109.6053068,33.16837829,"5.222222,-52.773611",Blue,FALSE,2023-01-01T00:00:00.000Z,28039,FALSE,2023-01-01T00:00:00.000Z,-,-,12437,0,FALSE,0,0,0,0.0,FALSE
